occurred_at,status,title,show,author,published,duration,played_up_to,starred,url,podcast_uuid,episode_uuid
"2026-03-13 11:13:06",played,"It’s Not Too Late: How to Transform Your Life at Any Moment","The Mel Robbins Podcast","Mel Robbins","2025-10-09 05:05:00",4714,4714,,https://dts.podtrac.com/redirect.mp3/pdst.fm/e/stitcher.simplecastaudio.com/b9de9f5f-6dab-4833-b4c2-05f1d28dd998/episodes/6436c046-0463-4ef7-a467-3cd94522a8a4/audio/128/default.mp3?aid=rss_feed&awCollectionId=b9de9f5f-6dab-4833-b4c2-05f1d28dd998&awEpisodeId=6436c046-0463-4ef7-a467-3cd94522a8a4&feed=UCwaTX1J,7c93f660-1beb-013b-05d4-0acc26574db2,646d3905-f692-4e4f-aa8e-2ef498ba24b8
"2026-03-23 06:55:14",played,"987: Remote Coding Agents","Syntax - Tasty Web Development Treats","Wes Bos & Scott Tolinski - Full Stack JavaScript Web Developers","2026-03-16 11:00:00",2835,2835,,https://traffic.megaphone.fm/FSI5301968170.mp3,fe30f8e0-3da9-0135-9028-63f4b61a9224,946b1704-416a-4a31-9b52-0d6bbcf92b32
"2026-04-06 23:22:32",in-progress,"How to Reinvent Your Life Starting Today","The Mel Robbins Podcast","Mel Robbins","2025-12-08 05:05:00",5607,63,,https://dts.podtrac.com/redirect.mp3/pdst.fm/e/stitcher.simplecastaudio.com/b9de9f5f-6dab-4833-b4c2-05f1d28dd998/episodes/7eb8c821-57d1-4182-9583-524e9151f75b/audio/128/default.mp3?aid=rss_feed&awCollectionId=b9de9f5f-6dab-4833-b4c2-05f1d28dd998&awEpisodeId=7eb8c821-57d1-4182-9583-524e9151f75b&feed=UCwaTX1J,7c93f660-1beb-013b-05d4-0acc26574db2,2ac2d617-a31b-4f08-8d54-db82ebb5939d
"2026-04-07 11:37:36",in-progress,"Sunday Pick: How to find true love (w/ Francesca Hogi) | from How to Be a Better Human","TED Talks Daily",TED,"2026-02-15 07:00:00",2726,138,,https://sphinx.acast.com/p/open/s/67587e77c705e441797aff96/e/698dfe493f15cb4dab328433/media.mp3,04364440-031e-012e-f99b-00163e1b201c,52adc851-7371-4b4c-a36b-b20246f4bf8a
"2026-04-07 11:37:36",in-progress,"592. No Such Thing As A Cat In A Muumuu","No Such Thing As A Fish - Club Fish (via Patreon)","No Such Thing As A Fish","2025-07-18 00:01:01",4602,0,,https://c10.patreonusercontent.com/4/patreon-media/p/post/134342665/d55935ba98f844b1a0787d5836d90536/eyJhIjoxLCJpc19hdWRpbyI6MSwicCI6MX0%3D/1.mp3?token-hash=lfyWqEL52G9ZoxUvwJ-V8eFxoVFmLVq01eRHjYQYHF0%3D&token-time=1755216000,161a2a80-1b72-013c-f610-0acc26574db2,a0aed975-edd7-4918-9cdb-9a72134f5834
"2026-04-07 11:37:36",played,"Christopher Wren's side hustle","Lateral with Tom Scott","Tom Scott and David Bodycombe","2025-07-25 05:00:00",2908,2908,,https://traffic.megaphone.fm/PAD1169384394.mp3?updated=1753410027,7073c8a0-29b8-013b-ef68-0acc26574db2,6f6d1620-8127-4a11-813d-969c075d6d7b
"2026-05-08 13:30:21",in-progress,"Our Favorite Apps of All Time!","Waveform: The MKBHD Podcast",MKBHD,"2026-04-03 09:00:00",6514,5720,,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/pscrb.fm/rss/p/mgln.ai/e/257/traffic.megaphone.fm/VMP8261476628.mp3?updated=1775207473,7d9a4610-9673-0137-4052-0acc26574db2,91e9efd9-01c6-48ff-b5a7-7c9692aedf85
"2026-06-16 11:33:16",played,"Half of a mountain","Lateral with Tom Scott","Tom Scott and David Bodycombe","2026-06-05 05:00:00",2734,2734,,https://traffic.megaphone.fm/PAD5909499211.mp3?updated=1778280261,7073c8a0-29b8-013b-ef68-0acc26574db2,945e15f5-ee23-4276-b339-47395ae0747a
"2026-06-27 21:04:02",played,"Dog watches","Lateral with Tom Scott","Tom Scott and David Bodycombe","2026-04-10 05:00:00",2857,2857,,https://traffic.megaphone.fm/PAD4556138609.mp3?updated=1775761584,7073c8a0-29b8-013b-ef68-0acc26574db2,652fb838-5b7e-4441-bcb2-019494fd7a76
"2026-06-27 21:04:02",played,"Betting for free","Lateral with Tom Scott","Tom Scott and David Bodycombe","2025-08-29 05:00:00",2864,2864,,https://traffic.megaphone.fm/PAD5880476136.mp3?updated=1756403279,7073c8a0-29b8-013b-ef68-0acc26574db2,a377b776-8896-4a8d-96a2-c195439d486c
