occurred_at,flight_number,airline_icao,origin_iata,destination_iata,distance_miles,cabin_class,reason,meta
2024-02-28T20:05,8474,EZY,ZRH,LGW,469,economy,,"{""aircraft"":""Airbus A319"",""seat"":""2E"",""seat_type"":""MIDDLE"",""pnr"":""K6PLS7M"",""dep_gate"":""D39"",""arr_terminal"":""N"",""departed_scheduled"":""2024-02-28T20:15"",""departed_actual"":""2024-02-28T20:05"",""arrived_scheduled"":""2024-02-28T21:00"",""arrived_actual"":""2024-02-28T20:35""}"
2024-03-10T11:09,8515,EZY,LGW,LIS,959,economy,,"{""aircraft"":""Airbus A320"",""seat"":""3F"",""seat_type"":""WINDOW"",""pnr"":""K6SB2P7"",""dep_terminal"":""N"",""arr_terminal"":""1"",""departed_scheduled"":""2024-03-10T10:35"",""departed_actual"":""2024-03-10T11:09"",""arrived_scheduled"":""2024-03-10T13:20"",""arrived_actual"":""2024-03-10T13:48""}"
2024-03-13T19:59,8518,EZY,LIS,LGW,959,economy,,"{""aircraft"":""Airbus A320neo"",""seat"":""4F"",""seat_type"":""WINDOW"",""pnr"":""K6SB2P7"",""dep_terminal"":""1"",""arr_terminal"":""N"",""departed_scheduled"":""2024-03-13T19:50"",""departed_actual"":""2024-03-13T19:59"",""arrived_scheduled"":""2024-03-13T22:30"",""arrived_actual"":""2024-03-13T22:25""}"
2024-04-21T14:20,2222,WZZ,LGW,BUD,911,economy,,"{""aircraft"":""Airbus A321neo"",""seat"":""17B"",""seat_type"":""MIDDLE"",""pnr"":""TGF4SS"",""dep_terminal"":""S"",""arr_terminal"":""2B"",""departed_scheduled"":""2024-04-21T14:20"",""arrived_scheduled"":""2024-04-21T17:50""}"
2024-04-24T19:58,8736,EZY,BUD,LGW,911,economy,,"{""aircraft"":""Airbus A319"",""seat"":""5F"",""seat_type"":""WINDOW"",""pnr"":""EZY8736"",""dep_terminal"":""2B"",""arr_terminal"":""N"",""departed_scheduled"":""2024-04-24T20:10"",""departed_actual"":""2024-04-24T19:58"",""arrived_scheduled"":""2024-04-24T21:55"",""arrived_actual"":""2024-04-24T21:25""}"
2024-06-12T08:05,2594,BAW,LGW,TRN,547,economy,,"{""aircraft"":""Airbus A320"",""seat"":""6D"",""seat_type"":""AISLE"",""pnr"":""WTRM2G"",""dep_terminal"":""S"",""departed_scheduled"":""2024-06-12T06:10"",""departed_actual"":""2024-06-12T08:05"",""arrived_scheduled"":""2024-06-12T09:05"",""arrived_actual"":""2024-06-12T11:04""}"
2024-06-16T19:46,2595,BAW,TRN,LGW,547,,,"{""aircraft"":""Airbus A321"",""pnr"":""WTRM2G"",""arr_terminal"":""S"",""departed_scheduled"":""2024-06-16T18:45"",""departed_actual"":""2024-06-16T19:46"",""arrived_scheduled"":""2024-06-16T19:40"",""arrived_actual"":""2024-06-16T20:55""}"
2025-06-03T08:16,8477,EZY,LGW,BSL,425,economy,,"{""aircraft"":""Airbus A320"",""seat"":""2A"",""seat_type"":""WINDOW"",""pnr"":""K7RRKR5"",""dep_terminal"":""N"",""dep_gate"":""105"",""arr_terminal"":""MAIN"",""departed_scheduled"":""2025-06-03T08:15"",""departed_actual"":""2025-06-03T08:16"",""arrived_scheduled"":""2025-06-03T10:55"",""arrived_actual"":""2025-06-03T10:49""}"
2025-06-08T22:21,8484,EZY,BSL,LGW,425,,,"{""aircraft"":""Airbus A319"",""dep_terminal"":""MAIN"",""dep_gate"":""29"",""arr_terminal"":""N"",""departed_scheduled"":""2025-06-08T21:35"",""departed_actual"":""2025-06-08T22:21"",""arrived_scheduled"":""2025-06-08T22:15"",""arrived_actual"":""2025-06-08T22:52""}"
2025-07-14T07:02,803,EZY,LGW,BHD,337,economy,,"{""aircraft"":""Airbus A320"",""seat"":""5B"",""seat_type"":""MIDDLE"",""pnr"":""K93JWMF"",""dep_terminal"":""N"",""dep_gate"":""45H"",""arr_terminal"":""1"",""departed_scheduled"":""2025-07-14T06:45"",""departed_actual"":""2025-07-14T07:02"",""arrived_scheduled"":""2025-07-14T08:10"",""arrived_actual"":""2025-07-14T08:19""}"
2025-07-17T20:13,804,EZY,BHD,LGW,337,economy,,"{""aircraft"":""Airbus A319"",""seat"":""2A"",""seat_type"":""WINDOW"",""pnr"":""K93JWMF"",""dep_terminal"":""1"",""arr_terminal"":""N"",""departed_scheduled"":""2025-07-17T20:10"",""departed_actual"":""2025-07-17T20:13"",""arrived_scheduled"":""2025-07-17T21:35"",""arrived_actual"":""2025-07-17T21:34""}"
