iata_code,icao_code,name,city,country,latitude,longitude
OGG,PHOG,"Kahului International Airport",Kahului,US,20.896263,-156.431837
PAK,PHPA,"Port Allen Airport",Hanapepe,US,21.8969,-159.602997
BSF,PHSF,"Bradshaw Army Airfield","Waimea (Kamuela)",US,19.760099,-155.554001
ITO,PHTO,"Hilo International Airport",Hilo,US,19.721399,-155.048004
UPP,PHUP,"Upolu Airport",Hawi,US,20.265301,-155.860001
BHC,,"Bhurban Heliport",Bhurban,PK,33.960998535156,73.452003479004
CWP,,"Campbellpore Airport",Campbellpore,PK,33.766700744629,72.366897583008
GRT,,"Gujrat Airport",Gujrat,PK,32.62826,74.067287
KCF,,"Kadanwari Airport",Kadanwari,PK,27.1667003632,69.3167037964
REQ,,"Reko Diq Airport",Chagai,PK,29.04692,62.196819
ENT,PKMA,"Eniwetok Airport","Eniwetok Atoll",MH,11.340700149536,162.32800292969
MAJ,PKMJ,"Marshall Islands International Airport","Majuro Atoll",MH,7.06476,171.272003
KWA,PKWA,"Bucholz Army Air Field",Kwajalein,MH,8.7201204299927,167.73199462891
CXI,PLCH,"Cassidy International Airport",Kiritimati,KI,1.986278,-157.350011
TNV,PLFA,"Tabuaeran Island Airport","Tabuaeran Island",KI,3.89944,-159.389008
TNQ,PLWN,"Washington Island Airstrip",Teraina,KI,4.698359,-160.394376
MDY,PMDY,"Henderson Field","Sand Island",UM,28.2017,-177.380997
PIZ,PPIZ,"Point Lay LRRS Airport","Point Lay",US,69.732903,-163.005005
PPX,,"Param Airport",Nepesi,PG,-9.99,149.477
PQD,,"Passikudah Helipad",Batticaloa,LK,7.92310659595,81.567735672
HUC,,"Dr Hermenegildo Ortiz Quinones Airport",Humacao,PR,18.138082,-65.800728
XSO,,"Siocon Airport",Siocon,PH,7.710035,122.161989
TKK,PTKK,"Chuuk International Airport","Weno Island",FM,7.4618701934814,151.84300231934
PNI,PTPN,"Pohnpei International Airport","Pohnpei Island",FM,6.9850997924805,158.20899963379
ROR,PTRO,"Babelthuap Airport","Babelthuap Island",PW,7.36731,134.544236
KSA,PTSA,"Kosrae International Airport",Okat,FM,5.35698,162.957993
YAP,PTYA,"Yap International Airport","Yap Island",FM,9.49891,138.082993
PUA,,"Puas Airport","Puas Mission",PG,-2.395,150.2361
AWK,PWAK,"Wake Island Airfield","Wake Island",UM,19.282437,166.636637
PWR,,"Port Walter Seaplane Base","Port Walter",US,56.381001,-134.651001
PBT,,"Aeródromo de Puerto Leda","Puerto Leda",PY,-20.9046,-57.927101
PCJ,,"Aeródromo de Puerto La Victoria","Puerto La Victoria",PY,-22.289298,-57.860484
PYL,,"Perry Island Seaplane Base","Perry Island",US,60.6852989197,-147.919006348
KIO,,"Kili Airport","Kili Island",MH,5.64386,169.124586
QFX,,"Igaliku Heliport",Igaliku,GL,60.99229,-45.431428
QJP,,"Pocheon (G-217) Airport",Pocheon,KR,37.864555,127.176633
RAA,,"Rakanda Airport",Rakanda,PG,-4.2096,152.4385
RAW,,"Arawa Airport",Arawa,PG,-6.220556,155.571389
KNH,RCBS,"Kinmen Airport",Shang-I,TW,24.4279,118.359001
CMJ,RCCM,"Qimei Airport",Qimei,TW,23.213127,119.417539
LZN,RCFG,"Matsu Nangan Airport","Matsu (Nangan)",TW,26.159656,119.958376
TTT,RCFN,"Taitung Airport","Taitung City",TW,22.754999160767,121.10199737549
GNI,RCGI,"Lüdao Airport",Lüdao,TW,22.673901,121.466003
KHH,RCKH,"Kaohsiung International Airport","Kaohsiung (Xiaogang)",TW,22.577101,120.349998
CYI,RCKU,"Chiayi Airport",Shuishang,TW,23.462577,120.390544
HCN,RCKW,"Hengchun Airport",Hengchun,TW,22.0411,120.730003
DSX,RCLM,"Dongsha Island (Pratas Island) Airport","Kaohsiung (Cijin - Pratas Island)",TW,20.7066,116.721001
KYD,RCLY,"Lanyu Airport","Orchid Island",TW,22.027000427246,121.53500366211
RMQ,RCMQ,"Taichung International Airport / Ching Chuang Kang Air Base","Taichung (Qingshui)",TW,24.2647,120.621002
MFK,RCMT,"Matsu Beigan Airport","Matsu (Beigan)",TW,26.224199,120.002998
TNN,RCNN,"Tainan International Airport / Tainan Air Base","Tainan (Rende)",TW,22.950399,120.206001
HSZ,RCPO,"Hsinchu Air Base","Hsinchu City",TW,24.8180007935,120.939002991
MZG,RCQC,"Penghu Magong Airport",Huxi,TW,23.568701,119.627998
PIF,,"Pingtung Air Force Base North",Pingtung,TW,22.700199,120.482002
TSA,RCSS,"Taipei Songshan Airport","Taipei (Songshan)",TW,25.069401,121.552002
TPE,RCTP,"Taiwan Taoyuan International Airport",Taoyuan,TW,25.0777,121.233002
WOT,RCWA,"Wang'an Airport",Wang'an,TW,23.369108,119.503598
HUN,RCYU,"Hualien Airport","Hualien City",TW,24.023099899292,121.61799621582
RDV,,"Red Devil Airport","Red Devil",US,61.788101,-157.350006
RHT,ZBAR,"Alxa Right Banner Badanjilin Airport",Badanjilin,CN,39.225,101.546
NRT,RJAA,"Narita International Airport",Narita,JP,35.764702,140.386002
MMJ,RJAF,"Shinshu-Matsumoto Airport",Matsumoto,JP,36.166801,137.923004
IBR,RJAH,"Ibaraki Airport / JASDF Hyakuri Air Base",Omitama,JP,36.181099,140.414993
MUS,RJAM,"JMSDF Minami Torishima Air Base",Ogasawara,JP,24.2897,153.979004
IWO,RJAW,"Ioto (Iwo Jima) Airbase",Ogasawara,JP,24.784153,141.32261
KIX,RJBB,"Kansai International Airport",Osaka,JP,34.427299,135.244003
SHM,RJBD,"Nanki Shirahama Airport",Shirahama,JP,33.6622009277,135.363998413
UKB,RJBE,"Kobe Airport",Kobe,JP,34.632801055908,135.22399902344
HIW,RJBH,"Hiroshima Heliport",Hiroshima,JP,34.371451,132.417666
TJH,RJBT,"Konotori Tajima Airport",Toyooka,JP,35.512798,134.787003
OBO,RJCB,"Tokachi-Obihiro Airport",Obihiro,JP,42.7332992554,143.216995239
CTS,RJCC,"New Chitose Airport",Sapporo,JP,42.7752,141.692001
HKD,RJCH,"Hakodate Airport",Hakodate,JP,41.77,140.822006
KUH,RJCK,"Kushiro Airport",Kushiro,JP,43.041,144.192993
MMB,RJCM,"Memanbetsu Airport",Ōzora,JP,43.8805999756,144.164001465
SHB,RJCN,"Nakashibetsu Airport",Nakashibetsu,JP,43.5774993896,144.960006714
OKD,RJCO,"Sapporo Okadama Airport",Sapporo,JP,43.117447,141.38134
RBJ,RJCR,"Rebun Airport",Rebun,JP,45.4550018311,141.039001465
WKJ,RJCW,"Wakkanai Airport",Wakkanai,JP,45.4042015076,141.800994873
AXJ,RJDA,"Amakusa Airport",Amakusa,JP,32.482498,130.158997
IKI,RJDB,"Iki Airport",Iki,JP,33.7490005493,129.785003662
UBJ,RJDC,"Yamaguchi Ube Airport",Ube,JP,33.9300003052,131.279006958
TSJ,RJDT,"Tsushima Airport",Tsushima,JP,34.2849006653,129.330993652
OMJ,RJDU,"JMSDF Omura Air Base",Nagasaki,JP,32.928046,129.934168
MBE,RJEB,"Monbetsu Airport",Monbetsu,JP,44.3039016724,143.404006958
AKJ,RJEC,"Asahikawa Airport",Higashikagura,JP,43.670799,142.447006
OIR,RJEO,"Okushiri Airport","Okushiri Island",JP,42.0717010498,139.432998657
RIS,RJER,"Rishiri Airport",Rishiri,JP,45.2420005798,141.186004639
KUM,RJFC,"Yakushima Airport",Yakushima,JP,30.385599,130.658997
FUJ,RJFE,"Fukue Airport",Goto,JP,32.666302,128.832993
FUK,RJFF,"Fukuoka Airport",Fukuoka,JP,33.585899353027,130.45100402832
TNE,RJFG,"New Tanegashima Airport",Tanegashima,JP,30.6051006317,130.990997314
KOJ,RJFK,"Kagoshima Airport",Kagoshima,JP,31.8034,130.718994
KMI,RJFM,"Miyazaki Airport",Miyazaki,JP,31.877199173,131.449005127
OIT,RJFO,"Oita Airport",Oita,JP,33.4794006348,131.736999512
KKJ,RJFR,"Kitakyushu Airport",Kitakyushu,JP,33.845901,131.035004
HSG,RJFS,"Saga Airport",Saga,JP,33.1497001648,130.302001953
KMJ,RJFT,"Kumamoto Airport",Kumamoto,JP,32.837299346924,130.85499572754
NGS,RJFU,"Nagasaki Airport",Nagasaki,JP,32.916901,129.914001
NGO,RJGG,"Chubu Centrair International Airport",Tokoname,JP,34.858398,136.804993
ASJ,RJKA,"Amami Airport",Amami,JP,28.430599212646,129.71299743652
OKE,RJKB,"Okinoerabu Airport",Wadomari,JP,27.431604,128.705564
KKX,RJKI,"Kikai Airport",Kikai,JP,28.3213005066,129.927993774
TKN,RJKN,"Tokunoshima Airport",Amagi,JP,27.836382,128.881356
NKM,RJNA,"Nagoya Airport / JASDF Komaki Air Base",Nagoya,JP,35.255759,136.924095
FKJ,RJNF,"Fukui Airport",Fukui,JP,36.142799,136.223999
QGU,,"Gifu Airport",Gifu,JP,35.3941,136.869995
KMQ,RJNK,"Komatsu Airport / JASDF Komatsu Air Base",Kanazawa,JP,36.3946,136.406998
OKI,RJNO,"Oki Global Geopark Airport",Okinoshima,JP,36.178388,133.323566
FSZ,RJNS,"Mount Fuji Shizuoka Airport","Makinohara / Shimada",JP,34.796043,138.187752
TOY,RJNT,"Toyama Airport",Toyama,JP,36.648300170898,137.18800354004
NTQ,RJNW,"Noto Satoyama Airport",Wajima,JP,37.293098,136.962006
HIJ,RJOA,"Hiroshima Airport",Hiroshima,JP,34.4361,132.919006
OKJ,RJOB,"Okayama Momotaro Airport",Okayama,JP,34.756901,133.854996
IZO,RJOC,"Izumo Enmusubi Airport",Izumo,JP,35.413601,132.889999
